val_mean_box_ap_25,val_mean_box_ap_50,val_fallentree_val_box_ap_50,val_fallentree_val_box_ap_25,val_fallentree_val_ap,val_fallentree_val_ap_50,val_fallentree_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_mean_recall,val_mean_precision,val_mean_f1,val_fallentree_recall,val_fallentree_precision,val_fallentree_f1,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_ce_11,val_loss_mask_11,val_loss_dice_11,val_mean_loss_ce,val_mean_loss_mask,val_mean_loss_dice,epoch,step,train_loss_mean,lr-AdamW,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_ce_11,train_loss_mask_11,train_loss_dice_11,train_mean_loss_ce,train_mean_loss_mask,train_mean_loss_dice
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08341646194458,3.438523769378662,1.9827582836151123,1.3548939228057861,3.5476157665252686,1.9827582836151123,2.8508098125457764,3.6463053226470947,1.9827605485916138,4.3899641036987305,3.446476936340332,1.982761263847351,2.888178825378418,3.3697261810302734,1.982761025428772,1.9519020318984985,3.2028214931488037,1.9827598333358765,3.1650407314300537,3.5957436561584473,1.9827604293823242,2.6345577239990234,3.664818286895752,1.9827605485916138,1.5453749895095825,3.6118857860565186,1.9827598333358765,1.044759750366211,3.3067593574523926,1.982757329940796,2.2474706172943115,3.4277143478393555,1.9827589988708496,2.2946829795837402,3.7380354404449463,1.9827594757080078,1.722774624824524,3.7113189697265625,1.9827592372894287,2.244140625,3.5159804821014404,1.9827595949172974,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,354.67266845703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1374776363372803,3.3483686447143555,1.9827585220336914,1.3548812866210938,3.5493736267089844,1.982758641242981,2.9548757076263428,3.5626325607299805,1.9827635288238525,4.827003002166748,3.4320871829986572,1.9827649593353271,3.281341314315796,3.318068742752075,1.9827646017074585,2.252911329269409,3.21396803855896,1.9827624559402466,3.393857002258301,3.4516284465789795,1.9827631711959839,2.9431650638580322,3.540156126022339,1.9827625751495361,1.6482957601547241,3.495269298553467,1.9827619791030884,1.1331788301467896,3.234696626663208,1.982757329940796,2.385690212249756,3.2788639068603516,1.9827605485916138,2.4350178241729736,3.556931734085083,1.9827618598937988,1.7068337202072144,3.5616531372070312,1.9827606678009033,2.419579029083252,3.426438331604004,1.9827616214752197,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,318.76641845703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2085156440734863,3.1852505207061768,1.982758641242981,1.3548685312271118,3.5487771034240723,1.9827591180801392,3.0063681602478027,3.42807674407959,1.9827667474746704,5.039731025695801,3.3497276306152344,1.9827680587768555,3.449763298034668,3.2743496894836426,1.9827685356140137,2.446012020111084,3.17287540435791,1.9827632904052734,3.5887153148651123,3.2197141647338867,1.9827656745910645,3.046539545059204,3.270979166030884,1.9827654361724854,1.7169932126998901,3.352642774581909,1.9827650785446167,1.242430329322815,3.1060373783111572,1.9827563762664795,2.588759183883667,3.1060922145843506,1.982763409614563,2.5140609741210938,3.3217568397521973,1.9827651977539062,1.7422960996627808,3.389894485473633,1.982763409614563,2.5342350006103516,3.2866287231445312,1.9827637672424316,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,309.6724853515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1977455615997314,3.0984857082366943,1.9827603101730347,1.3548542261123657,3.5473685264587402,1.982759714126587,3.007197141647339,3.2766940593719482,1.9827696084976196,4.989603519439697,3.2011871337890625,1.9827706813812256,3.419290065765381,3.2077019214630127,1.9827723503112793,2.4814934730529785,3.0779030323028564,1.9827640056610107,3.6174330711364746,3.0258498191833496,1.9827686548233032,2.9777121543884277,3.0619900226593018,1.9827686548233032,1.699518084526062,3.2255144119262695,1.9827697277069092,1.2638208866119385,3.004448413848877,1.9827574491500854,2.5971145629882812,2.9607110023498535,1.98276686668396,2.464080810546875,3.159282922744751,1.9827693700790405,1.6775625944137573,3.276012897491455,1.9827677011489868,2.5190327167510986,3.1633191108703613,1.9827665090560913,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,291.94268798828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1314311027526855,3.0353989601135254,1.9827635288238525,1.3548400402069092,3.5469210147857666,1.9827604293823242,2.9989662170410156,3.1162610054016113,1.982773780822754,4.813779354095459,3.0312860012054443,1.982773780822754,3.319509267807007,3.132591724395752,1.9827773571014404,2.438657283782959,2.988333225250244,1.982767105102539,3.4785852432250977,2.852402687072754,1.982772946357727,2.777235507965088,2.8472766876220703,1.9827721118927002,1.645670771598816,3.1255412101745605,1.9827759265899658,1.2257814407348633,2.916219472885132,1.9827594757080078,2.4699249267578125,2.8249707221984863,1.9827708005905151,2.303685188293457,3.004481315612793,1.9827734231948853,1.6069622039794922,3.1434459686279297,1.9827746152877808,2.428079128265381,3.043471574783325,1.9827704429626465,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,294.11090087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0622214078903198,2.9592082500457764,1.9827698469161987,1.3548249006271362,3.54299259185791,1.9827613830566406,2.9968626499176025,2.992197275161743,1.9827781915664673,4.600864410400391,2.9063806533813477,1.9827772378921509,3.149599075317383,3.051713705062866,1.9827840328216553,2.325991153717041,2.899986982345581,1.9827709197998047,3.2587478160858154,2.736626625061035,1.9827780723571777,2.507441759109497,2.717435359954834,1.9827756881713867,1.5446152687072754,3.0482211112976074,1.9827837944030762,1.1585421562194824,2.84445858001709,1.9827632904052734,2.2901318073272705,2.743427038192749,1.9827756881713867,2.094886302947998,2.9255006313323975,1.9827786684036255,1.494813084602356,3.058753490447998,1.982783555984497,2.295349359512329,2.9559154510498047,1.9827754497528076,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,281.13323974609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
